Ensembl.ID	Gene.Symbol	GNF.GeneAtlas.Specificity
ENSMUSG00000014543	Klra17	TRE
ENSMUSG00000014599	Csf1	TRE
ENSMUSG00000014602	Kif1a	TRE
ENSMUSG00000014609	Chrne	TRE
ENSMUSG00000014767	Tbp	TRE
ENSMUSG00000014773	Dll1	TRE
ENSMUSG00000014776	Nol3	TRE
ENSMUSG00000014782	Plekhg4	TRE
ENSMUSG00000014786	Slc9a5	TRE
ENSMUSG00000014813	Stc1	TRE
ENSMUSG00000014859	E2f4	TRE
ENSMUSG00000015016	Acsf3	TRE
ENSMUSG00000015027	Galns	TRE
ENSMUSG00000015053	Gata2	TRE
ENSMUSG00000015083	C8g	TRE
ENSMUSG00000015093	Clic3	TRE
ENSMUSG00000015095	Fbxw5	TRE
ENSMUSG00000015112	Slc25a13	TRE
ENSMUSG00000015134	Aldh1a3	TRE
ENSMUSG00000015224	Cyp2j9	TRE
ENSMUSG00000015242	Nipsnap3a	TRE
ENSMUSG00000015314	Slamf6	TRE
ENSMUSG00000015316	Slamf1	TRE
ENSMUSG00000015335	Zdhhc12	TRE
ENSMUSG00000015340	Cybb	TRE
ENSMUSG00000015342	Xk	TRE
ENSMUSG00000015354	Pcolce2	TRE
ENSMUSG00000015377	Fam116b	TRE
ENSMUSG00000015405	Ace2	TRE
ENSMUSG00000015437	Gzmb	TRE
ENSMUSG00000015452	Ager	TRE
ENSMUSG00000015467	Egfl8	TRE
ENSMUSG00000015468	Notch4	TRE
ENSMUSG00000015476	Prrt1	TRE
ENSMUSG00000015484	Fam163a	TRE
ENSMUSG00000015542	Nat9	TRE
ENSMUSG00000015597	Zfp318	TRE
ENSMUSG00000015599	Ttbk1	TRE
ENSMUSG00000015619	Gata3	TRE
ENSMUSG00000015652	Steap1	TRE
ENSMUSG00000015702	Anxa9	TRE
ENSMUSG00000015709	Arnt2	TRE
ENSMUSG00000015787	Abo	TRE
ENSMUSG00000015843	Rxrg	TRE
ENSMUSG00000015852	Fcrls	TRE
ENSMUSG00000015854	Cd5l	TRE
ENSMUSG00000015879	Fam184b	TRE
ENSMUSG00000015890	Amdhd1	TRE
ENSMUSG00000015947	Fcgr1	TRE
ENSMUSG00000015962	1700016C15Rik	TRE
ENSMUSG00000015966	Il17rb	TRE
ENSMUSG00000015968	Cacna1d	TRE
ENSMUSG00000015980	Lrrc27	TRE
ENSMUSG00000016150	Odz1	TRE
ENSMUSG00000016206	H2-M3	TRE
ENSMUSG00000016239	Lonrf3	TRE
ENSMUSG00000016356	Col20a1	TRE
ENSMUSG00000016458	Wt1	TRE
ENSMUSG00000016493	Cd46	TRE
ENSMUSG00000016498	Pdcd1lg2	TRE
ENSMUSG00000016526	Dyrk3	TRE
ENSMUSG00000016529	Il10	TRE
ENSMUSG00000016552	Foxred2	TRE
ENSMUSG00000016624	Phf21b	TRE
ENSMUSG00000016756	Cmah	TRE
ENSMUSG00000016763	Scube1	TRE
ENSMUSG00000016918	Sulf1	TRE
ENSMUSG00000016942	Tmprss6	TRE
ENSMUSG00000016995	Matn4	TRE
ENSMUSG00000017007	Rbpjl	TRE
ENSMUSG00000017195	Zpbp2	TRE
ENSMUSG00000017309	Cd300lg	TRE
ENSMUSG00000017314	Mpp2	TRE
ENSMUSG00000017344	Vtn	TRE
ENSMUSG00000017400	Stac2	TRE
ENSMUSG00000017412	Cacnb4	TRE
ENSMUSG00000017417	Plxdc1	TRE
ENSMUSG00000017446	C1qtnf1	TRE
ENSMUSG00000017453	Pipox	TRE
ENSMUSG00000017491	Rarb	TRE
ENSMUSG00000017499	Cdc6	TRE
ENSMUSG00000017550	Atad5	TRE
ENSMUSG00000017639	Rab11fip4	TRE
ENSMUSG00000017652	Cd40	TRE
ENSMUSG00000017679	Ttpal	TRE
ENSMUSG00000017688	Hnf4g	TRE
ENSMUSG00000017692	Rhbdl3	TRE
ENSMUSG00000017697	Ada	TRE
ENSMUSG00000017718	Afmid	TRE
ENSMUSG00000017734	Dbndd2	TRE
ENSMUSG00000017737	Mmp9	TRE
ENSMUSG00000017740	Slc12a5	TRE
ENSMUSG00000017767	1700020C07Rik	TRE
ENSMUSG00000017817	Jph2	TRE
ENSMUSG00000017861	Mybl2	TRE
ENSMUSG00000017868	Sgk2	TRE
ENSMUSG00000017897	Eya2	TRE
ENSMUSG00000017943	Gdap1l1	TRE
ENSMUSG00000017950	Hnf4a	TRE
ENSMUSG00000018008	Cyth4	TRE
ENSMUSG00000018168	Ikzf3	TRE
ENSMUSG00000018238	Gdf9	TRE
ENSMUSG00000018263	Tbx5	TRE
ENSMUSG00000018334	Ksr1	TRE
ENSMUSG00000018341	Il12rb2	TRE
ENSMUSG00000018381	Abi3	TRE
ENSMUSG00000018387	Shroom1	TRE
ENSMUSG00000018459	Slc13a3	TRE
ENSMUSG00000018470	Kcnab3	TRE
ENSMUSG00000018479	1700125H20Rik	TRE
ENSMUSG00000018500	Adora2b	TRE
ENSMUSG00000018509	Cenpv	TRE
ENSMUSG00000018543	1700001P01Rik	TRE
ENSMUSG00000018554	Ybx2	TRE
ENSMUSG00000018566	Slc2a4	TRE
ENSMUSG00000018581	Dnahc11	TRE
ENSMUSG00000018589	Glra2	TRE
ENSMUSG00000018599	Smcr7	TRE
ENSMUSG00000018604	Tbx3	TRE
ENSMUSG00000018623	Mmp7	TRE
ENSMUSG00000018634	Crhr1	TRE
ENSMUSG00000018648	Dusp14	TRE
ENSMUSG00000018698	Lhx1	TRE
ENSMUSG00000018727	Cpsf4l	TRE
ENSMUSG00000018740	Slc25a35	TRE
ENSMUSG00000018809	Smyd4	TRE
ENSMUSG00000018845	Unc45b	TRE
ENSMUSG00000018861	Fdxr	TRE
ENSMUSG00000018865	Sult4a1	TRE
ENSMUSG00000018919	Tm4sf5	TRE
ENSMUSG00000018930	Ccl4	TRE
ENSMUSG00000018983	E2f2	TRE
ENSMUSG00000018986	Slfn3	TRE
ENSMUSG00000019027	Dnahc1	TRE
ENSMUSG00000019088	Dnase1l1	TRE
ENSMUSG00000019102	Aldh3a1	TRE
ENSMUSG00000019146	Cacng2	TRE
ENSMUSG00000019178	Styxl1	TRE
ENSMUSG00000019194	Scn1b	TRE
ENSMUSG00000019230	Lhx9	TRE
ENSMUSG00000019297	2610027L16Rik	TRE
ENSMUSG00000019303	Psmc3ip	TRE
ENSMUSG00000019320	Noxo1	TRE
ENSMUSG00000019368	Sec14l4	TRE
ENSMUSG00000019464	Ptger1	TRE
ENSMUSG00000019518	Ap4m1	TRE
ENSMUSG00000019539	Rcn3	TRE
ENSMUSG00000019564	Arid3a	TRE
ENSMUSG00000019647	Sema6a	TRE
ENSMUSG00000019726	Lyst	TRE
ENSMUSG00000019732	Calr3	TRE
ENSMUSG00000019761	Krt10	TRE
ENSMUSG00000019775	Rgs17	TRE
ENSMUSG00000019785	Clvs2	TRE
ENSMUSG00000019787	Trdn	TRE
ENSMUSG00000019789	Hey2	TRE
ENSMUSG00000019803	Nr2e1	TRE
ENSMUSG00000019808	Adat2	TRE
ENSMUSG00000019828	Grm1	TRE
ENSMUSG00000019831	Wasf1	TRE
ENSMUSG00000019834	Slc22a16	TRE
ENSMUSG00000019848	Popdc3	TRE
ENSMUSG00000019856	Fam184a	TRE
ENSMUSG00000019865	Nmbr	TRE
ENSMUSG00000019876	Pkib	TRE
ENSMUSG00000019880	Rspo3	TRE
ENSMUSG00000019888	Mgat4c	TRE
ENSMUSG00000019890	Nts	TRE
ENSMUSG00000019893	Ros1	TRE
ENSMUSG00000019894	Slc6a15	TRE
ENSMUSG00000019906	Lin7a	TRE
ENSMUSG00000019913	Sim1	TRE
ENSMUSG00000019933	2310015B20Rik	TRE
ENSMUSG00000019945	1700040L02Rik	TRE
ENSMUSG00000019971	Cep290	TRE
ENSMUSG00000019986	Ahi1	TRE
ENSMUSG00000019987	Arg1	TRE
ENSMUSG00000019990	Pde7b	TRE
ENSMUSG00000019992	Fam54a	TRE
ENSMUSG00000020000	Moxd1	TRE
ENSMUSG00000020007	Il20ra	TRE
ENSMUSG00000020010	Vnn3	TRE
ENSMUSG00000020014	Gm872	TRE
ENSMUSG00000020017	Hal	TRE
ENSMUSG00000020037	Rfx4	TRE
ENSMUSG00000020059	Sycp3	TRE
ENSMUSG00000020061	Mybpc1	TRE
ENSMUSG00000020067	Mypn	TRE
ENSMUSG00000020072	Pbld1	TRE
ENSMUSG00000020085	Aifm2	TRE
ENSMUSG00000020086	H2afy2	TRE
ENSMUSG00000020096	Tbata	TRE
ENSMUSG00000020102	Slc16a7	TRE
ENSMUSG00000020121	Srgap1	TRE
ENSMUSG00000020131	Pcsk4	TRE
ENSMUSG00000020135	Apc2	TRE
ENSMUSG00000020140	Lgr5	TRE
ENSMUSG00000020150	Gamt	TRE
ENSMUSG00000020155	Kcnmb1	TRE
ENSMUSG00000020156	Mum1	TRE
ENSMUSG00000020159	Gabrp	TRE
ENSMUSG00000020173	Cobl	TRE
ENSMUSG00000020175	Rab36	TRE
ENSMUSG00000020178	Adora2a	TRE
ENSMUSG00000020181	Nav3	TRE
ENSMUSG00000020185	E2f7	TRE
ENSMUSG00000020191	4930415F15Rik	TRE
ENSMUSG00000020193	Zpbp	TRE
ENSMUSG00000020212	Mdm1	TRE
ENSMUSG00000020218	Wif1	TRE
ENSMUSG00000020226	Slc5a4b	TRE
ENSMUSG00000020251	Glt8d2	TRE
ENSMUSG00000020256	Aldh1l2	TRE
ENSMUSG00000020258	Glyctk	TRE
ENSMUSG00000020262	Adarb1	TRE
ENSMUSG00000020264	Slc36a2	TRE
ENSMUSG00000020268	Lyrm7	TRE
ENSMUSG00000020275	Rel	TRE
ENSMUSG00000020286	1700093K21Rik	TRE
ENSMUSG00000020297	Nsg2	TRE
ENSMUSG00000020303	Stc2	TRE
ENSMUSG00000020310	Madcam1	TRE
ENSMUSG00000020319	Wdpcp	TRE
ENSMUSG00000020325	Fstl3	TRE
ENSMUSG00000020331	Hcn2	TRE
ENSMUSG00000020332	4930404A10Rik	TRE
ENSMUSG00000020364	Zfp354a	TRE
ENSMUSG00000020374	Rasgef1c	TRE
ENSMUSG00000020377	Ltc4s	TRE
ENSMUSG00000020381	3010026O09Rik	TRE
ENSMUSG00000020389	Cdkl3	TRE
ENSMUSG00000020395	Itk	TRE
ENSMUSG00000020396	Nefh	TRE
ENSMUSG00000020399	Havcr2	TRE
ENSMUSG00000020401	Fam71b	TRE
ENSMUSG00000020405	Fabp6	TRE
ENSMUSG00000020407	Upp1	TRE
ENSMUSG00000020419	Hormad2	TRE
ENSMUSG00000020431	Adcy1	TRE
ENSMUSG00000020434	4921536K21Rik	TRE
ENSMUSG00000020435	Osbp2	TRE
ENSMUSG00000020461	1700034F02Rik	TRE
ENSMUSG00000020469	Myl7	TRE
ENSMUSG00000020474	Polm	TRE
ENSMUSG00000020481	Ankrd36	TRE
ENSMUSG00000020491	2810021J22Rik	TRE
