"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_name","celltype"
1.8151563886098e-48,1.14272890177457,0.714,0.425,3.77171345989231e-44,5,"ENSMUSG00000021670","Hmgcr","TC IV"
7.22174465373881e-47,1.14338937622039,0.807,0.535,1.50060632160039e-42,5,"ENSMUSG00000005615","Pcyt1a","TC IV"
5.15451090685074e-161,1.15242808769411,1,1,1.07105582133451e-156,5,"ENSMUSG00000092341","Malat1","TC IV"
2.64521905979452e-67,1.15641888133073,0.859,0.45,5.49650068434702e-63,5,"ENSMUSG00000024043","Arhgap28","TC IV"
1.07983100314119e-56,1.15869012918597,0.902,0.654,2.24378084142708e-52,5,"ENSMUSG00000021843","Ktn1","TC IV"
7.22621045898829e-88,1.16272924275498,0.43,0.029,1.50153427127318e-83,5,"ENSMUSG00000097742","Gm26535","TC IV"
1.35985218539706e-83,1.16378895520271,0.974,0.771,2.82563685603655e-79,5,"ENSMUSG00000040710","St8sia4","TC IV"
1.47089490910569e-55,1.17218554233014,0.596,0.214,3.0563725316307e-51,5,"ENSMUSG00000016520","Lnx2","TC IV"
1.82722302491576e-92,1.17504851028511,0.928,0.476,3.79678672347246e-88,5,"ENSMUSG00000029484","Anxa3","TC IV"
4.75027962974148e-55,1.17879423584902,0.417,0.08,9.87060604263983e-51,5,"ENSMUSG00000060429","Sntb1","TC IV"
5.31109502071363e-113,1.17960176196449,0.985,0.769,1.10359243435409e-108,5,"ENSMUSG00000037944","Ccr7","TC IV"
8.03678144601815e-109,1.19249459977746,0.974,0.854,1.66996281666811e-104,5,"ENSMUSG00000001175","Calm1","TC IV"
1.79263957246429e-36,1.19483559817335,0.635,0.333,3.72492576762355e-32,5,"ENSMUSG00000029581","Fscn1","TC IV"
4.43775173618976e-67,1.19655424345457,0.861,0.61,9.2212043326287e-63,5,"ENSMUSG00000015143","Actn1","TC IV"
1.79280681721968e-60,1.19955434687018,0.672,0.276,3.72527328550076e-56,5,"ENSMUSG00000006360","Crip1","TC IV"
3.19461960956378e-65,1.21595168046903,0.557,0.138,6.63810008671257e-61,5,"ENSMUSG00000044667","Plppr4","TC IV"
